작품명,장르,드라마,로맨스,미스터리,스릴러,액션,역사,전문분야,코미디,판타지,휴먼
에이틴,"['웹드라마', '학원물', '로맨스']",1,1,0,0,0,0,0,0,0,1
최고의 치킨,['드라마'],1,0,0,0,0,0,0,0,0,0
왼손잡이 아내,"['복수', '멜로']",0,1,0,1,0,0,0,0,0,0
동네변호사 조들호 2: 죄와 벌,['법률 드라마'],1,0,0,0,0,0,1,0,0,0
왕이 된 남자,['사극'],0,0,0,0,0,1,0,0,0,0
왜그래 풍상씨,"['가족', '코미디', '복수', '막장']",0,0,0,1,0,0,0,1,0,0
용왕님 보우하사,"['드라마', '막장']",1,0,0,0,0,0,0,0,0,0
봄이 오나 봄,"['판타지', '코미디']",0,0,0,0,0,0,0,1,1,0
로맨스는 별책부록,"['로맨스', '코미디']",0,1,0,0,0,0,0,1,0,0
바벨,"['범죄', '미스터리', '멜로']",0,1,1,1,1,0,0,0,0,0
진심이 닿다,['로맨스'],0,1,0,0,0,0,0,0,0,0
리갈 하이,"['법정', '코미디']",0,0,0,0,0,0,1,1,0,0
막돼먹은 영애씨 17,['코미디'],0,0,0,0,0,0,0,1,0,0
트랩,['범죄'],0,0,0,1,1,0,0,0,0,0
눈이 부시게,"['로맨스', '판타지힐링', '휴머니즘']",0,1,0,0,0,0,0,0,1,1
아이템,"['SF', '판타지', '서스펜스']",0,0,0,1,0,0,0,0,1,0
해치,"['사극', '미스터리 수사물']",0,0,1,1,0,1,0,0,0,0
로스:타임:라이프 - 더 라스트 찬스,"['판타지', '휴머니즘']",0,0,0,0,0,0,0,0,1,1
열혈사제,"['경찰', '액션', '블랙 코미디', '서스펜스']",0,0,0,1,1,0,0,1,0,0
슬플 때 사랑한다,"['드라마', '격정멜로', '막장']",1,1,0,0,0,0,0,0,0,0
빅이슈,"['수사', '방송/연예']",0,0,1,0,0,0,0,0,0,0
빙의,"['공포', '스릴러', '범죄', '미스터리', '오컬트']",0,0,1,1,1,0,0,0,0,0
사이코메트리 그녀석,"['초능력', '로맨스', '스릴러']",0,1,0,1,0,0,0,0,1,0
