작품명,장르,방송 채널,방송 기간,방송 시간,방송 분량,방송 횟수,기획,책임프로듀서,프로듀서,제작사,연출,각본,출연자,이전,다음
"신비아파트 외전: 기억, 하리 2",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
너를 싫어하는 방법,,,,,,,,,,,,,,,
아름다운 세상,드라마,JTBC,2019년 4월 5일 ~ 2019년 5월 25일,"매주 금요일, 토요일 밤 11시",,16부작,JTBC,함영훈,"김다예, 김경태","MI, 엔 케이 물산",박찬홍,김지우,"추자현, 박희순, 오만석, 조여정 외",리갈 하이 (2019년 2월 8일 ~ 2019년 3월 30일),보좌관 - 세상을 움직이는 사람들 (2019년 6월 14일 ~ 2019년 7월 13일)
국민 여러분!,"범죄, 코미디",KBS 2TV,2019년 4월 1일 ~ 2019년 5월 28일,"매주 월요일, 화요일 밤 10시 ~ 11시 10분",1시간 10분 (1회당 35분 / 2회 연속방송),36부작,문준하 (KBS 드라마본부),"이건준, 노상훈 (KBS 드라마운영팀)",,"몬스터유니온, 원콘텐츠",김정현,한정훈,"최시원, 이유영, 김민정, 태인호, 김의성 외",동네변호사 조들호 2: 죄와 벌 (2019년 1월 7일 ~ 2019년 3월 26일),퍼퓸 (2019년 6월 3일 ~ 2019년 7월 23일)
날 녹여주오,"판타지, 드라마",tvN,2019년 9월 28일 ~ 2019년 11월 17일,매주 토요일 밤 9시 10분 ~ 10시 23분 매주 일요일 밤 9시 10분 ~ 10시 21분,,16부작,스튜디오드래곤,,,"스튜디오드래곤, 스토리피닉스㈜","신우철, 최지영",백미경,"지창욱, 원진아 외",아스달 연대기 - 하 (2019년 9월 7일 ~ 2019년 9월 22일),사랑의 불시착 (2019년 12월 14일 ~ 2020년 2월 16일)
각색은 이미 시작됐다,,,,,,,,,,,,,,,
용왕님 보우하사,드라마,MBC,2019년 1월 14일 ~ 2019년 7월 12일,매주 평일 저녁 7:10 ~ 7:55 [1회 ~ 5회] 매주 평일 저녁 7:15 ~ 7:55 [6회 ~ 40회] 매주 평일 저녁 6:50 ~ 7:30 [41회 ~ 121회],40분,121부작,MBC 드라마본부,,,,"최은경, 김용민",,"이소연, 재희, 조안, 김형민 외",비밀과 거짓말 (2018년 6월 25일 ~ 2019년 1월 11일),모두 다 쿵따리 (2019년 7월 16일 ~ 2019년 11월 29일)
반야,,,,,,,,,,,,,,,
바벨,"범죄, 미스터리, 멜로",TV CHOSUN,2019년 1월 27일 ~ 2019년 3월 24일,"토요일, 일요일 밤 10시 50분",,16부작 + 스페셜 1부작,,,,"하이그라운드, 원츠메이커 픽쳐스",윤성식,"권순원, 박상욱","박시후, 장희진, 김해숙, 장신영, 김지훈, 송재희, 임정은 외",대군 - 사랑을 그리다 (2018년 3월 3일 ~ 2018년 5월 6일),조선생존기 (2019년 6월 8일 ~ 2019년 8월 17일)
개같다 거지같다 아름답다,,,,,,,,,,,,,,,
어쩌다 발견한 하루,"로맨틱 판타지, 로맨스 드라마",MBC,2019년 10월 2일 ~ 2019년 11월 21일,"매주 수, 목 저녁 8:55 ~ 밤 10:05",1시간 10분 (1회당 35분),32부작,김대진,,"남궁성우, 문주희",MBC 드라마본부 래몽래인[1],김상협,"인지혜, 송하영","김혜윤, 로운, 이재욱, 이나은, 정건주, 김영대, 이태리 외",신입사관 구해령 (2019년 7월 17일 ~ 2019년 9월 26일),하자있는 인간들 (2019년 11월 27일 ~ 2020년 1월 16일)
레버리지: 사기조작단,"범죄, 스릴러",TV CHOSUN,2019년 10월 13일 ~ 2019년 12월 8일,매주 일요일 오후 10시 (2회 연속방송),120분,16부작,"TV CHOSUN, 소니 픽처스 텔레비전",,,"프로덕션 H, 하이그라운드","남기훈, 서강석",민지형,"이동건, 전혜빈, 김새론",,
위대한 쇼,"정치, 가족, 로맨스",tvN,2019년 8월 26일 ~ 2019년 10월 15일,"매주 월, 화 밤 9시 30분",,16부작,,,,"화이브라더스코리아, 롯데컬처웍스","신용휘, 김정욱",설준석,"송승헌, 이선빈, 임주환, 노정의 외","60일, 지정생존자 (2019년 7월 1일 ~ 2019년 8월 20일)",유령을 잡아라! (2019년 10월 21일 ~ 2019년 12월 10일)
유령을 잡아라,"수사, 로맨스",tvN,2019년 10월 21일 ~ 2019년 12월 10일,"매주 월, 화 밤 9시 30분",,16부작,스튜디오드래곤,,,로고스 필름 (주),신윤섭,"소원, 이영주","문근영, 김선호, 정유진, 기도훈 외",위대한 쇼 (2019년 8월 26일 ~ 2019년 10월 15일),블랙독 (2019년 12월 16일 ~ 2020년 2월 4일)
여름아 부탁해,"가족, 멜로, 복수, 막장 드라마",KBS 1TV (본방송),2019년 4월 29일 ~ 2019년 10월 25일,매주 평일 저녁 8:30 ~ 9:00,30분,128부작,,전우성,구성준,KBS 드라마본부,성준해,"구지원, 장민우, 남선혜","이영은, 윤선우, 이채영, 김사권 외",비켜라 운명아 (2018년 11월 5일 ~ 2019년 4월 26일),꽃길만 걸어요 (2019년 10월 28일 ~ 2020년 4월 17일)
황금정원,드라마,MBC,2019년 7월 20일 ~ 2019년 10월 26일,매주 토요일 밤 9:05 ~ 11:05,120분 (1회당 30분 / 4회 연속 방송),60부작,김승모 (MBC),,,김종학프로덕션,"이대영, 이동현",박현주,"한지혜, 이상우, 오지은, 이태성 외",이몽 (2019년 5월 4일 ~ 2019년 7월 13일),두 번은 없다 (2019년 11월 2일 ~ 2020년 3월 7일)
달리는 조사관,휴먼,OCN,2019년 9월 18일 ~ 2019년 10월 31일,"매주 수요일, 목요일 밤 11시",60분,14부작,스튜디오드래곤,,,데이드림엔터테인먼트,김용수,백정철,"이요원, 최귀화 외",미스터 기간제  (2019년 7월 17일 ~ 2019년 9월 5일),-
태양의 계절,"복수, 멜로",KBS 2TV,2019년 6월 3일 ~ 2019년 11월 1일,매주 평일 저녁 7:50 ~ 8:30 (본방송) 매주 목요일 낮 12:10 ~ 오후 1:50 (재방송),40분,102부작,김상휘 (KBS 드라마본부),문준하 (KBS 드라마운영팀),홍은미,삼화네트웍스,김원용,이은주,"오창석, 윤소이, 최성재, 하시은 외",왼손잡이 아내 (2019년 1월 2일 ~ 2019년 5월 31일),우아한 모녀 (2019년 11월 4일 ~ 2020년 3월 27일)
보좌관 2,"정치, 피카레스크",JTBC,2019년 11월 11일 ~ 2019년 12월 10일,"매주 월, 화 밤 9시 30분 ~ 11시",65분,10부작,JTBC,함영훈,,스튜디오앤뉴,곽정환,이대일,"이정재, 신민아, 이엘리야, 김동준, 김갑수, 정웅인, 정만식, 박효주, 조복래 외",꽃파당: 조선혼담공작소 (2019년 9월 16일 ~ 2019년 11월 5일),검사내전 (2019년 12월 16일 ~ 2020년 2월 11일)
맛 좀 보실래요,드라마,SBS,2019년 11월 12일 ~ 2020년 5월 1일,매주 평일 아침 8:35 ~ 9:10,35분,124부작,이용석,,양성은,셀트리온 엔터테인먼트,윤류해,,"심이영, 서도영, 서하준, 한가림, 이슬아, 최우석 외",수상한 장모 (2019년 5월 20일 ~ 2019년 11월 8일),엄마가 바람났다 (2020년 5월 4일 ~ 2020년 10월 23일)
두 번은 없다,"복수, 가족, 코미디",MBC,2019년 11월 2일 ~ 2020년 3월 7일,매주 토요일 오후 9:05 ~ 오후 11:05,120분 (1회당 30분 / 4회 연속 방송),72부작,MBC 드라마본부,,전수정,팬엔터테인먼트,"최원석, 박상우",구현숙,"윤여정, 박세완, 곽동연, 오지호, 예지원, 박아인, 송원석 외",황금정원 (2019년 7월 20일 ~ 2019년 10월 26일),폐지
동백꽃 필 무렵,"멜로, 휴머니즘, 스릴러",KBS 2TV,2019년 9월 18일 ~ 2019년 11월 21일,"매주 수요일, 목요일 밤 10:00 ~ 11:10",1시간 10분 (1회당 35분),40부작 + 스페셜 4부작,황의경 (KBS 드라마본부),"이건준, 노상훈 (KBS 드라마운영팀)",윤재혁,팬 엔터테인먼트,"차영훈, 강민경",임상춘,"공효진, 강하늘, 김지석, 지이수, 손담비 외",저스티스 (2019년 7월 17일 ~ 2019년 9월 5일),99억의 여자 (2019년 12월 4일 ~ 2020년 1월 23일)
나의 나라,사극,JTBC,2019년 10월 4일 ~ 2019년 11월 23일,"매주 금요일, 토요일 밤 10시 50분 ~ 12시 20분",70분,16부작 + 스페셜 1부작,JTBC,오환민,"김우현, 박우람","셀트리온엔터테인먼트, 나의 나라 문화전문유한회사",김진원,,"양세종, 우도환, 김설현, 장혁, 김영철, 안내상 외",멜로가 체질 (2019년 8월 9일 ~ 2019년 9월 28일),초콜릿 (2019년 11월 29일 ~ 2020년 1월 18일)
