작품명,회차,방송일,시청률
아름다운 세상,1,2019-04-05,2.178
아름다운 세상,2,2019-04-06,2.926
아름다운 세상,3,2019-04-12,3.053
아름다운 세상,4,2019-04-13,3.306
아름다운 세상,5,2019-04-19,3.346
아름다운 세상,6,2019-04-20,3.267
아름다운 세상,7,2019-04-26,3.334
아름다운 세상,8,2019-04-27,4.001
아름다운 세상,9,2019-05-03,3.727
아름다운 세상,10,2019-05-04,3.451
아름다운 세상,11,2019-05-10,4.222
아름다운 세상,12,2019-05-11,4.643
아름다운 세상,13,2019-05-17,4.087
아름다운 세상,14,2019-05-18,4.331
아름다운 세상,15,2019-05-24,4.91
아름다운 세상,16,2019-05-25,5.785
국민 여러분!,1,2019-04-01,6.8
국민 여러분!,2,2019-04-01,7.5
국민 여러분!,3,2019-04-02,7.0
국민 여러분!,4,2019-04-02,8.4
국민 여러분!,5,2019-04-08,5.4
국민 여러분!,6,2019-04-08,6.5
국민 여러분!,7,2019-04-09,6.9
국민 여러분!,8,2019-04-09,7.9
국민 여러분!,9,2019-04-15,5.3
국민 여러분!,10,2019-04-15,6.0
국민 여러분!,11,2019-04-16,5.4
국민 여러분!,12,2019-04-16,6.5
국민 여러분!,13,2019-04-22,4.3
국민 여러분!,14,2019-04-22,5.4
국민 여러분!,15,2019-04-23,5.0
국민 여러분!,16,2019-04-23,6.9
국민 여러분!,17,2019-04-29,4.9
국민 여러분!,18,2019-04-29,6.6
국민 여러분!,19,2019-04-30,5.8
국민 여러분!,20,2019-04-30,7.0
국민 여러분!,21,2019-05-06,4.5
국민 여러분!,22,2019-05-06,6.2
국민 여러분!,23,2019-05-07,6.1
국민 여러분!,24,2019-05-07,7.0
국민 여러분!,25,2019-05-13,5.1
국민 여러분!,26,2019-05-13,5.7
국민 여러분!,27,2019-05-14,5.4
국민 여러분!,28,2019-05-14,6.4
국민 여러분!,29,2019-05-20,5.0
국민 여러분!,30,2019-05-20,6.0
국민 여러분!,31,2019-05-21,6.5
국민 여러분!,32,2019-05-21,7.5
국민 여러분!,33,2019-05-27,4.6
국민 여러분!,34,2019-05-27,5.9
국민 여러분!,35,2019-05-28,6.3
국민 여러분!,36,2019-05-28,8.0
날 녹여주오,1,2019-09-28,2.486
날 녹여주오,2,2019-09-29,3.177
날 녹여주오,3,2019-10-05,3.163
날 녹여주오,4,2019-10-06,3.201
날 녹여주오,5,2019-10-12,2.063
날 녹여주오,6,2019-10-13,2.481
날 녹여주오,7,2019-10-19,1.843
날 녹여주오,8,2019-10-20,2.419
날 녹여주오,9,2019-10-26,1.16
날 녹여주오,10,2019-10-27,2.074
날 녹여주오,11,2019-11-02,1.461
날 녹여주오,12,2019-11-03,1.622
날 녹여주오,13,2019-11-09,1.774
날 녹여주오,14,2019-11-10,1.765
날 녹여주오,15,2019-11-16,1.432
날 녹여주오,16,2019-11-17,2.282
용왕님 보우하사,1,2019-01-14,8.2
용왕님 보우하사,2,2019-01-15,8.1
용왕님 보우하사,3,2019-01-16,8.9
용왕님 보우하사,4,2019-01-17,7.8
용왕님 보우하사,5,2019-01-18,8.2
용왕님 보우하사,6,2019-01-21,9.0
용왕님 보우하사,7,2019-01-22,8.7
용왕님 보우하사,8,2019-01-23,8.4
용왕님 보우하사,9,2019-01-24,8.1
용왕님 보우하사,10,2019-01-25,8.3
용왕님 보우하사,11,2019-01-28,8.9
용왕님 보우하사,12,2019-01-29,8.1
용왕님 보우하사,13,2019-01-30,6.3
용왕님 보우하사,14,2019-01-31,8.5
용왕님 보우하사,15,2019-02-01,7.8
용왕님 보우하사,16,2019-02-07,8.2
용왕님 보우하사,17,2019-02-08,7.4
용왕님 보우하사,18,2019-02-11,8.0
용왕님 보우하사,19,2019-02-12,7.9
용왕님 보우하사,20,2019-02-13,7.9
용왕님 보우하사,21,2019-02-14,8.2
용왕님 보우하사,22,2019-02-15,7.9
용왕님 보우하사,23,2019-02-18,7.5
용왕님 보우하사,24,2019-02-19,7.4
용왕님 보우하사,25,2019-02-20,7.9
용왕님 보우하사,26,2019-02-21,8.1
용왕님 보우하사,27,2019-02-22,7.9
용왕님 보우하사,28,2019-02-25,8.0
용왕님 보우하사,29,2019-02-26,4.1
용왕님 보우하사,30,2019-03-01,3.2
용왕님 보우하사,31,2019-03-04,7.6
용왕님 보우하사,32,2019-03-05,8.2
용왕님 보우하사,33,2019-03-06,8.6
용왕님 보우하사,34,2019-03-07,8.7
용왕님 보우하사,35,2019-03-08,8.5
용왕님 보우하사,36,2019-03-11,8.5
용왕님 보우하사,37,2019-03-12,9.5
용왕님 보우하사,38,2019-03-13,9.1
용왕님 보우하사,39,2019-03-14,8.0
용왕님 보우하사,40,2019-03-15,8.6
용왕님 보우하사,41,2019-03-18,5.3
용왕님 보우하사,42,2019-03-19,6.2
용왕님 보우하사,43,2019-03-20,6.7
용왕님 보우하사,44,2019-03-21,7.0
용왕님 보우하사,45,2019-03-22,6.5
용왕님 보우하사,46,2019-03-25,6.6
용왕님 보우하사,47,2019-03-27,6.9
용왕님 보우하사,48,2019-03-28,6.7
용왕님 보우하사,49,2019-03-29,6.0
용왕님 보우하사,50,2019-04-01,6.5
용왕님 보우하사,51,2019-04-02,7.3
용왕님 보우하사,52,2019-04-03,6.1
용왕님 보우하사,53,2019-04-04,6.8
용왕님 보우하사,54,2019-04-08,6.1
