작품명,장르,방송사,전체회차,출연자,액션,코미디,드라마,스릴러,공포,판타지,가족,미스터리,전쟁,SF
에이틴,"['웹드라마', ' 학원물', ' 로맨스']","V LIVE, 네이버TV, 유튜브, 페이스북",1,"['신예은', ' 이나은', ' 신승호', ' 김동희 ']",0,0,1,0,0,0,0,0,0,0
최고의 치킨,['드라마'],"iHQ DRAMA, MBN",1,"['박선호', ' 김소혜', ' 주우재 ']",0,0,1,0,0,0,0,0,0,0
왼손잡이 아내,"['복수', ' 멜로']",KBS 2TV,1,"['이수경', ' 김진우', ' 진태현', ' 하연주', ' 이승연 ']",0,0,1,0,0,0,0,0,0,0
동네변호사 조들호 2: 죄와 벌,['법률 드라마'],KBS 2TV,1,"['박신양', ' 고현정', ' 이민지', ' 변희봉 ']",0,0,1,1,0,0,0,0,0,0
왕이 된 남자,['사극'],tvN,1,"['여진구', ' 김상경', ' 이세영', ' 정혜영', ' 장광', ' 권해효 ']",0,0,0,0,0,0,0,0,1,0
왜그래 풍상씨,"['가족', ' 코미디', ' 복수', ' 막장']",KBS 2TV,1,"['유준상', ' 오지호', ' 전혜빈', ' 이시영', ' 이창엽 ']",0,1,0,0,0,0,1,0,0,0
용왕님 보우하사,['드라마'],MBC,1,"['이소연', ' 재희', ' 조안', ' 김형민 ']",0,0,1,0,0,0,0,0,0,0
봄이 오나 봄,['드라마'],MBC TV,1,"['이유리', ' 엄지원', ' 이종혁', ' 최병모 ']",0,0,1,0,0,0,0,0,0,0
로맨스는 별책부록,['드라마'],tvN,1,"['이나영', ' 이종석', ' 정유진', ' 위하준 ']",0,0,1,0,0,0,0,0,0,0
바벨,"['범죄', ' 미스터리', ' 멜로']",TV CHOSUN,1,"['박시후', ' 장희진', ' 김해숙', ' 장신영', ' 김지훈', ' 송재희', ' 임정은 ']",0,0,1,1,0,0,0,1,0,0
진심이 닿다,['드라마'],tvN,1,"['유인나', ' 이동욱', ' 이상우', ' 손성윤 ']",0,0,1,0,0,0,0,0,0,0
리갈 하이,"['법정', ' 코미디']",JTBC,1,"['진구', ' 서은수', ' 윤박', ' 이순재 ']",0,1,0,1,0,0,0,0,0,0
막돼먹은 영애씨 17,['드라마'],tvN,1,"['김현숙', ' 이승준 ']",0,0,1,0,0,0,0,0,0,0
트랩,['범죄'],OCN,1,"['이서진', ' 성동일', ' 임화영 ']",0,0,0,1,0,0,0,0,0,0
눈이 부시게,"['로맨스', ' 판타지']",JTBC,1,"['김혜자', ' 한지민', ' 남주혁 ']",0,0,1,0,0,1,0,0,0,0
아이템,"['SF', ' 판타지', ' 서스펜스']",MBC TV,1,"['주지훈', ' 진세연', ' 김강우', ' 김유리', ' 박원상']",0,0,0,1,0,1,0,0,0,1
해치,"['사극', ' 미스터리 수사물']",SBS,1,"['정일우', ' 고아라', ' 권율', ' 박훈', ' 이경영', ' 정문성', ' 배정화', ' 한상진 ']",0,0,0,0,0,0,0,1,1,0
로스:타임:라이프 - 더 라스트 찬스,['드라마'],"MBN, UMAX",1,"['송유빈', ' 권민아 ']",0,0,1,0,0,0,0,0,0,0
열혈사제,"['경찰', ' 액션', ' 블랙 코미디', ' 서스펜스']",SBS,1,"['김남길', ' 김성균', ' 이하늬', ' 고준', ' 금새록 ']",1,1,0,1,0,0,0,0,0,0
슬플 때 사랑한다,"['드라마', ' 격정멜로', ' 막장']",MBC,1,"['지현우', ' 박한별', ' 류수영', ' 왕빛나 ']",0,0,1,0,0,0,0,0,0,0
빅이슈,['드라마'],SBS,1,"['주진모', ' 한예슬', ' 김희원', ' 신소율 ']",0,0,1,0,0,0,0,0,0,0
빙의,['드라마'],OCN,1,"['송새벽', ' 고준희', ' 연정훈', ' 조한선 ']",0,0,1,0,0,0,0,0,0,0
사이코메트리 그녀석,['드라마'],tvN,1,"['박진영', ' 신예은', ' 김권', ' 김다솜 ']",0,0,1,0,0,0,0,0,0,0
닥터 프리즈너,"['범죄', ' 메디컬', ' 서스펜스']",KBS 2TV,1,"['남궁민', ' 권나라', ' 김병철', ' 최원영', ' 박은석', ' 이다인', ' 김정난', ' 장현성 ']",0,0,0,1,0,0,0,0,0,0
킬잇,"['범죄', ' 액션']",OCN,1,"['장기용', ' 나나 ']",1,0,0,1,0,0,0,0,0,0
자백,['드라마'],tvN,1,"['이준호', ' 유재명', ' 신현빈', ' 남기애 ']",0,0,1,0,0,0,0,0,0,0
세상에서 제일 예쁜 내 딸,"['가족', ' 멜로', ' 복수', ' 막장']","KBS 2TV 방송 로고 KBS2HD(디지털 텔레비전), KBS2(아날로그 텔레비전)",1,"['김해숙', ' 김소연', ' 홍종현', ' 유선 ']",0,0,1,0,0,0,1,0,0,0
으라차차 와이키키 2,['드라마'],JTBC,1,"['김선호', ' 이이경', ' 신현수', ' 문가영', ' 안소희', ' 김예원 ']",0,0,1,0,0,0,0,0,0,0
더 뱅커,"['경제', ' 비즈니스']",MBC TV,1,"['김상중', ' 채시라', ' 유동근', ' 김태우 ']",0,0,0,0,0,0,0,0,0,0
국민 여러분!,"['범죄', ' 코미디']",KBS 2TV,1,"['최시원', ' 이유영', ' 김민정', ' 태인호', ' 김의성 ']",0,1,0,1,0,0,0,0,0,0
아름다운 세상,['드라마'],JTBC,1,"['추자현', ' 박희순', ' 오만석', ' 조여정 ']",0,0,1,0,0,0,0,0,0,0
특별근로감독관 조장풍,"['SF', ' 판타지', ' 서스펜스']",MBC TV,1,"['김동욱', ' 박세영', ' 김경남', ' 류덕환', ' ']",0,0,0,1,0,1,0,0,0,1
회사 가기 싫어,['드라마'],KBS 2TV,1,"['김동완', ' 한수연', ' 소주연', ' 김관수']",0,0,1,0,0,0,0,0,0,0
그녀의 사생활,['드라마'],tvN,1,"['박민영', ' 김재욱 ']",0,0,1,0,0,0,0,0,0,0
