Unnamed: 0,작품명,극본,연출,방송 기간,방송,방송사,유형,UHD,방송.1,시청,비고
3,국민 여러분!,한정훈,김정현,"2019.05.28, 2019.04.01",36 (18),KBS2,월화,,,(),8회 연장
10,어쩌다 발견한 하루,"인지혜, 송하영",김상협,"2019.10.02, 2019.11.21",32 (16),MBC,수목,,,(),사전제작
12,위대한 쇼,설준석,신용휘,"2019.10.15, 2019.8.26",16,tvN,월화,,,(),21회 조기종영
13,유령을 잡아라,"이영주, 소원",신윤섭,"2019.10.21, 2019.12.10",16,tvN,월화,,,(),사전제작
16,달리는 조사관,백정철,"김용수, 이창희","2019.10.31, 2019.9.18",14,OCN,수목,,,(),2회 조기종영
18,보좌관 2,이대일,곽정환,"2019.11.11, 2019.12.10",10,JTBC,월화,,,(),3회 연장
21,동백꽃 필 무렵,임상춘,차영훈,"2019.11.21, 2019.9.18",40 (20),KBS2,수목,,,(),21회 조기종영
29,검사내전,"박연선, 이범익, 서자연",이태곤,"2019.12.16, 2020.2.11",16,JTBC,월화,,,(),9회 연장
30,VIP,해원,이정림,"2019.12.24, 2019.10.28",16,SBS,월화,,,(),3회 연장
32,눈이 부시게,"이남규, 김수진",김석윤,"2019.2.11, 2019.3.19",12,JTBC,월화,,,(),1회 연장
33,아이템,정이도,"김성욱, 박미연","2019.2.11, 2019.4.2",32 (16),MBC,월화,,,(),1회 연장
34,해치,김이영,이용석,"2019.2.11, 2019.4.30",48 (24),SBS,월화,,,(),1회 연장
37,최고의 치킨,"조아영, 박찬영",이승훈,"2019.2.7, 2019.1.2",12,"드라맥스, MBN",수목,,,(),3회 연장
39,사이코메트리 그녀석,양진아,김병수,"2019.3.11, 2019.4.30",16,tvN,월화,,,(),1회 연장
40,왜그래 풍상씨,문영남,진형욱,"2019.3.14, 2019.1.9",40 (20),KBS2,수목,,,(),스페셜 1부작
42,봄이 오나 봄,이혜선,"박승우, 김상호","2019.3.21, 2019.1.23",32 (16),MBC,수목,,,(),1회 연장
43,으라차차 와이키키 2,"서동범, 김기호, 송미소, 송지은",이창민,"2019.3.25, 2019.5.14",16,JTBC,월화,,,(),8회 연장
44,동네변호사 조들호 2: 죄와 벌,최완규,한상우,"2019.3.26, 2019.1.7",40 (20),KBS2,월화,,,(),스페셜 1부작
45,진심이 닿다,"이명숙, 최보림",박준화,"2019.3.28, 2019.2.6",16,tvN,수목,,,(),1회 연장
47,왕이 된 남자,"신하은, 김선덕",김희원,"2019.3.4, 2019.1.7",16,tvN,월화,,,(),스페셜 1부작
48,빙의,박희강,최도훈,"2019.3.6, 2019.4.25",16,OCN,수목,,,(),1회 연장
49,빅이슈,장혁진,이동훈,"2019.3.6, 2019.5.2",32 (16),SBS,수목,,,(),1회 연장
50,그녀의 사생활,김혜영,홍종찬,"2019.4.10, 2019.5.30",16,tvN,수목,,,(),8회 연장
58,닥터 프리즈너,박계옥,황인혁,"2019.5.15, 2019.3.20",32 (16),KBS2,수목,,,(),1회 연장
59,절대 그이,"장아미, 양혁문",정정화,"2019.5.15, 2019.7.11",36 (18),SBS,수목,,,(),8회 연장
60,더 뱅커,"오혜란, 서은정, 배상욱",이재진,"2019.5.16, 2019.3.27",32 (16),MBC,수목,,,(),8회 연장
61,"단, 하나의 사랑",최윤교,이정섭,"2019.5.22, 2019.7.11",32 (16),KBS2,수목,,,(),3회 연장
62,봄밤,김은,안판석,"2019.5.22, 2019.7.11",32 (16),MBC,수목,,,(),3회 연장
63,특별근로감독관 조장풍,김반디,박원국,"2019.5.28, 2019.4.8",32 (16),MBC,월화,,,(),8회 연장
66,초면에 사랑합니다,김아정,이광영,"2019.5.6, 2019.6.25",32 (16),SBS,월화,,,(),8회 연장
67,어비스,문수연,유제원,"2019.5.6, 2019.6.25",16,tvN,월화,,,(),8회 연장
68,구해줘 2,서주연,이권,"2019.6.27, 2019.5.8",16,OCN,수목,,,(),8회 연장
70,검색어를 입력하세요 WWW,권도은,"권영일, 정지현","2019.6.5, 2019.7.25",16,tvN,수목,,,(),2회 연장
72,"60일, 지정생존자",김태희,유종선,"2019.7.1, 2019.8.20",16,KBS2,월화,,,(),2회 연장
74,바람이 분다,황주하,정정화,"2019.7.16, 2019.5.27",16,JTBC,월화,,,(),3회 연장
75,열여덟의 순간,윤경아,심나연,"2019.7.22, 2019.9.10",16,JTBC,월화,,,(),21회 조기종영
76,퍼퓸,최현옥,김상휘,"2019.7.23, 2019.6.3",32 (16),KBS2,월화,,,(),3회 연장
77,검법남녀 2,민지은,노도철,"2019.7.29, 2019.6.3",32 (16),MBC,월화,,,(),2회 연장
78,악마가 너의 이름을 부를 때,"노혜영, 고내리",민진기,"2019.7.31, 2019.9.19",16,tvN,수목,,,(),21회 조기종영
79,레벨업,김동규,김상우,"2019.8.15, 2019.7.10",12,MBN,수목,,,(),2회 연장
80,우아한 가,권민수,한철수,"2019.8.21, 2019.10.17",16,MBN,수목,,,(),21회 조기종영
85,웰컴2라이프,유희경,김건홍,"2019.8.5, 2019.9.24",32 (16),MBC,월화,,,(),21회 조기종영
86,너의 노래를 들려줘,김민주,이정미,"2019.8.5, 2019.9.24",32 (16),KBS2,월화,,,(),21회 조기종영
90,생일편지,김민주,이정미,"2019.9.12, 2019.9.11",4 (2),KBS2,수목,,,(),21회 조기종영
91,꽃파당: 조선혼담공작소,김이랑,김가람,"2019.9.16, 2019.11.5",16,JTBC,월화,,,(),21회 조기종영
92,시크릿 부티크,허선희,박형기,"2019.9.18, 2019.11.28",16,SBS,수목,,,(),21회 조기종영
93,에이틴 / 에이틴 시즌 2,김사라,한수지,"2019.9.2, 2019.7.29",11,Mnet,월화,,,(),21회 조기종영
97,청일전자 미쓰리,박정화,한동화,"2019.9.25, 2019.11.14",16,tvN,수목,,,(),사전제작
98,신입사관 구해령,김호수,"강일수, 한현희","2019.9.26, 2019.7.17",40 (20),MBC,수목,,,(),21회 조기종영
101,조선로코-녹두전,"임예진, 백소연",김동휘,"2019.9.30, 2019.11.25",32 (16),KBS2,월화,,,(),사전제작
