작품명,방송일자,시청률,방영연도,월,일,회차,연속방송
(아는 건 별로 없지만) 가족입니다,2020-06-01,3.122,2020,6,1,1,1
(아는 건 별로 없지만) 가족입니다,2020-06-02,3.93,2020,6,2,2,1
(아는 건 별로 없지만) 가족입니다,2020-06-08,3.345,2020,6,8,3,1
(아는 건 별로 없지만) 가족입니다,2020-06-09,3.862,2020,6,9,4,1
(아는 건 별로 없지만) 가족입니다,2020-06-15,3.188,2020,6,15,5,1
(아는 건 별로 없지만) 가족입니다,2020-06-16,4.127,2020,6,16,6,1
(아는 건 별로 없지만) 가족입니다,2020-06-22,3.582,2020,6,22,7,1
(아는 건 별로 없지만) 가족입니다,2020-06-23,4.721,2020,6,23,8,1
(아는 건 별로 없지만) 가족입니다,2020-06-29,4.402,2020,6,29,9,1
(아는 건 별로 없지만) 가족입니다,2020-06-30,4.737,2020,6,30,10,1
(아는 건 별로 없지만) 가족입니다,2020-07-06,4.383,2020,7,6,11,1
(아는 건 별로 없지만) 가족입니다,2020-07-07,4.336,2020,7,7,12,1
(아는 건 별로 없지만) 가족입니다,2020-07-13,4.822,2020,7,13,13,1
(아는 건 별로 없지만) 가족입니다,2020-07-14,4.487,2020,7,14,14,1
(아는 건 별로 없지만) 가족입니다,2020-07-20,4.365,2020,7,20,15,1
(아는 건 별로 없지만) 가족입니다,2020-07-21,5.434,2020,7,21,16,1
17세의 조건,2019-08-05,2.8499999999999996,2019,8,5,1,2
17세의 조건,2019-08-06,2.85,2019,8,6,2,2
18 어게인,2020-09-21,1.753,2020,9,21,1,1
18 어게인,2020-09-22,2.417,2020,9,22,2,1
18 어게인,2020-09-28,2.674,2020,9,28,3,1
18 어게인,2020-09-29,2.532,2020,9,29,4,1
18 어게인,2020-10-05,3.209,2020,10,5,5,1
18 어게인,2020-10-06,2.786,2020,10,6,6,1
18 어게인,2020-10-12,2.803,2020,10,12,7,1
18 어게인,2020-10-13,3.157,2020,10,13,8,1
18 어게인,2020-10-19,3.117,2020,10,19,9,1
18 어게인,2020-10-20,3.192,2020,10,20,10,1
18 어게인,2020-10-26,2.573,2020,10,26,11,1
18 어게인,2020-10-27,2.256,2020,10,27,12,1
18 어게인,2020-11-02,2.824,2020,11,2,13,1
18 어게인,2020-11-03,2.878,2020,11,3,14,1
18 어게인,2020-11-09,2.683,2020,11,9,15,1
18 어게인,2020-11-10,2.743,2020,11,10,16,1
365: 운명을 거스르는 1년,2020-03-23,4.45,2020,3,23,1,2
365: 운명을 거스르는 1년,2020-03-24,4.7,2020,3,24,2,2
365: 운명을 거스르는 1년,2020-03-30,4.3,2020,3,30,3,2
365: 운명을 거스르는 1년,2020-03-31,4.65,2020,3,31,4,2
365: 운명을 거스르는 1년,2020-04-06,4.25,2020,4,6,5,2
365: 운명을 거스르는 1년,2020-04-07,4.45,2020,4,7,6,2
365: 운명을 거스르는 1년,2020-04-13,3.9,2020,4,13,7,2
365: 운명을 거스르는 1년,2020-04-14,3.9000000000000004,2020,4,14,8,2
365: 운명을 거스르는 1년,2020-04-20,4.0,2020,4,20,9,2
365: 운명을 거스르는 1년,2020-04-21,4.3,2020,4,21,10,2
365: 운명을 거스르는 1년,2020-04-27,4.65,2020,4,27,11,2
365: 운명을 거스르는 1년,2020-04-28,4.4,2020,4,28,12,2
